benchmark,run,objective_a,objective_b,n_solutions,spearman_rho
Montage_1000,18,latency,cost,119,-0.3018231021222048
Montage_1000,18,latency,energy,119,-0.40160233584959415
Montage_1000,18,cost,energy,119,0.7033328585671557
Montage_1000,19,makespan,latency,122,-0.19328168448627847
Montage_1000,19,makespan,cost,122,-0.881486878781722
Montage_1000,19,makespan,energy,122,-0.5055771172151551
Montage_1000,19,latency,cost,122,-0.08884710578578486
Montage_1000,19,latency,energy,122,-0.4338529051189442
Montage_1000,19,cost,energy,122,0.6661302421180288
Montage_1000,20,makespan,latency,129,0.20147584973166371
Montage_1000,20,makespan,cost,129,-0.8703544275491951
Montage_1000,20,makespan,energy,129,-0.6354259838998212
Montage_1000,20,latency,cost,129,-0.5369800983899822
Montage_1000,20,latency,energy,129,-0.6873546511627908
Montage_1000,20,cost,energy,129,0.81587656529517
