source_file,benchmark,baseline,metric,direction,adare_n,adare_mean,adare_std,adare_median,adare_iqr,baseline_mean,baseline_std,baseline_median,baseline_iqr,gain_percent,paired_improvement_mean,paired_improvement_ci95_low,paired_improvement_ci95_high,wilcoxon_one_sided_p,holm_p,rank_biserial_paired
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Static,spacing,min,20,0.0644826863251822,0.007370806949194885,0.0663377926328427,0.009476312314317968,0.0672689838418766,0.011907503412580784,0.06319143692939293,0.010966501069599628,4.142024091286873,0.0027862975166944404,-0.0025045923937079793,0.008624668111794026,0.35059070587158203,1.0,0.10476190476190476
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Static,time,min,20,4.627886495005805,0.12835425873609765,4.609123550035292,0.0746131250198232,4.36325877000927,0.06271543002913309,4.374659249995602,0.07236052502412349,-6.064910172539994,-0.2646277249965351,-0.33630194275043324,-0.2060981504929805,1.0,1.0,-1.0
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Contextual-UCB,cost_best,min,20,27347.955227923077,347.69335467223635,27300.58968769231,484.1205280769209,27335.546571461542,334.9441709484001,27359.14720538462,299.20580461537975,-0.04539384800335448,-12.408656461536157,-211.66982812115245,202.10596607307792,0.6761722564697266,1.0,-0.11428571428571428
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Contextual-UCB,coverage,max,20,0.050737530896028185,0.02942674481378599,0.04145189003436426,0.03389857622780355,0.043452178344134416,0.026694286898454513,0.03674758895909544,0.02340229453812672,16.766368981998838,0.007285352551893759,-0.013869947209667078,0.028031067500811045,0.21045495850255186,1.0,0.21052631578947367
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Contextual-UCB,energy_best,min,20,716297478.4886153,306150.8145675436,716236393.7615384,245119.22769224644,716254873.9058846,531330.403688117,716129506.5653846,342629.8367308378,-0.005948243325496604,-42604.58273075819,-319291.57518462534,242035.1928461867,0.7847833633422852,1.0,-0.2
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Contextual-UCB,epsilon,min,20,0.043676952019095674,0.00677229779801243,0.042613200456036324,0.008526716159217101,0.04418509886961852,0.0035695503113329866,0.04406659061278739,0.004864652834257938,1.150041220960687,0.0005081468505228517,-0.0030308804855568193,0.003830367244317963,0.3780832290649414,1.0,0.08571428571428572
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Contextual-UCB,hv,max,20,1.103508679844719,0.003559018304179106,1.1043389291298622,0.004549070177310766,1.1028445036725016,0.003359303719820204,1.1033342105732056,0.004002445821029044,0.060223918241015154,0.000664176172217279,-0.0012071469481553811,0.0024698266468382852,0.18413829803466797,1.0,0.23809523809523808
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Contextual-UCB,igd,min,20,0.03384186118982302,0.003087301094184825,0.03413419952546277,0.0036210576564807,0.03458880436992073,0.0031113311775823123,0.034985423295633686,0.004825612421804994,2.1594940724440526,0.000746943180097715,-0.0010555496354214741,0.0024727885924886563,0.1649913787841797,1.0,0.2571428571428571
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Contextual-UCB,latency_best,min,20,858848.9189932797,16650.136761949427,860571.7577452449,8395.00469359965,861200.3754121335,20517.74677227396,864428.7177325601,20382.44481145055,0.27304405408886745,2351.4564188539866,-7938.783793132384,13242.225248090092,0.2729377746582031,1.0,0.1619047619047619
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Contextual-UCB,makespan_best,min,20,261774.11549307258,105.5620649394197,261770.36720326924,154.6950776584854,261800.15349872218,160.16174318256253,261749.4348121154,162.99973605768173,0.009945756448815077,26.03800564963749,-46.37983989821644,110.21081350264974,0.32382774353027344,1.0,0.12380952380952381
