source_file,benchmark,algorithm,n,mean_objective_evaluations,std_objective_evaluations,median_objective_evaluations
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,QL-NSGA-III,20,6993.75,46.35432756723504,7002.0
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,QMOEA/D-AWA-style,20,4041.6,331.86306624395866,4054.5
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,ADARE,20,3536.65,31.406125785300315,3542.0
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,NSGA-III,20,3502.7,29.106157785812808,3502.5
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,OVEA-style,20,3369.2,143.76354856060297,3425.5
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,QL-NSGA-III,20,3553.05,25.4754267564069,3554.5
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,QMOEA/D-AWA-style,20,2282.7,119.63677484259112,2275.0
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,ADARE,20,3541.5,19.362198657231705,3540.5
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,NSGA-III,20,3490.55,38.16925602187129,3493.0
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,OVEA-style,20,3271.55,114.27643077896224,3295.5
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,QL-NSGA-III,20,3537.55,46.79572067704707,3535.5
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,QMOEA/D-AWA-style,20,2349.0,113.38615899937513,2359.0
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,ADARE,20,3549.05,21.93645127947641,3550.5
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,NSGA-III,20,3511.8,33.49406860294741,3513.5
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,OVEA-style,20,3415.2,65.33122087526478,3440.0
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,QL-NSGA-III,20,3553.1,29.442003650352472,3557.0
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,QMOEA/D-AWA-style,20,2230.8,157.07142190400953,2227.5
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,ADARE,20,3557.35,25.534857496536397,3550.5
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,NSGA-III,20,3512.55,33.32688972807646,3505.5
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,OVEA-style,20,3326.7,139.32925789389375,3368.5
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,QL-NSGA-III,20,3544.75,28.589425722771953,3543.5
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,QMOEA/D-AWA-style,20,2243.0,72.48375498580427,2237.0
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,ADARE,10,1093.8,17.209816320280055,1095.0
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,NSGA-III,10,1075.7,21.192503915824158,1080.5
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,OVEA-style,10,1074.3,18.535551426020934,1076.0
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,QL-NSGA-III,10,1102.0,16.786237749352228,1103.0
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,QMOEA/D-AWA-style,10,811.4,24.824718863799177,819.5
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,ADARE,10,1095.2,12.673682267684566,1091.5
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,NSGA-III,10,1082.5,22.157266177135764,1091.5
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,OVEA-style,10,1072.0,20.58586354219268,1071.5
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,QL-NSGA-III,10,1095.5,14.90898312353253,1096.0
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,QMOEA/D-AWA-style,10,835.8,62.38197745431857,819.5
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,ADARE,10,1112.8,22.175061067183858,1108.5
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,NSGA-III,10,1085.0,19.113694915775266,1086.0
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,OVEA-style,10,1098.5,20.397439926509296,1100.0
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,QL-NSGA-III,10,1099.0,12.364824660660938,1098.0
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,QMOEA/D-AWA-style,10,828.0,60.140576060500855,819.0
large_3000_r10_g20\Soykb\reports\Soykb_3000_wfcommons_extended_run_metrics.csv,Soykb_3000_wfcommons,ADARE,10,1102.7,10.509783801561074,1104.5
large_3000_r10_g20\Soykb\reports\Soykb_3000_wfcommons_extended_run_metrics.csv,Soykb_3000_wfcommons,NSGA-III,10,1094.5,19.828430766620606,1100.5
large_3000_r10_g20\Soykb\reports\Soykb_3000_wfcommons_extended_run_metrics.csv,Soykb_3000_wfcommons,OVEA-style,10,1080.2,19.937680685353325,1088.5
large_3000_r10_g20\Soykb\reports\Soykb_3000_wfcommons_extended_run_metrics.csv,Soykb_3000_wfcommons,QL-NSGA-III,10,1099.3,17.36567495568965,1097.5
large_3000_r10_g20\Soykb\reports\Soykb_3000_wfcommons_extended_run_metrics.csv,Soykb_3000_wfcommons,QMOEA/D-AWA-style,10,807.8,30.597022367834715,797.5
large_3000_r10_g20\Srasearch\reports\Srasearch_3000_wfcommons_extended_run_metrics.csv,Srasearch_3000_wfcommons,ADARE,10,1094.9,9.085397319019375,1094.5
large_3000_r10_g20\Srasearch\reports\Srasearch_3000_wfcommons_extended_run_metrics.csv,Srasearch_3000_wfcommons,NSGA-III,10,1078.6,15.714112553158493,1076.0
large_3000_r10_g20\Srasearch\reports\Srasearch_3000_wfcommons_extended_run_metrics.csv,Srasearch_3000_wfcommons,OVEA-style,10,1070.0,36.015428792548214,1082.0
