source_file,benchmark,component,n,mean_seconds,std_seconds,median_seconds,mean_percent_of_total
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,controller_selection,20,0.04860871476412285,0.0032632777453747595,0.047427149169379845,0.2827114671093501
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,mutation_and_local_repair,20,0.13724312999111135,0.00886784089781344,0.13762180000776425,0.7982150282875614
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,archive_operations,20,0.04302191501192283,0.0019810277988264445,0.042604150221450254,0.25021827402545505
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,fitness_evaluation,20,2.077975209953729,0.14737408251152057,2.0313550497812685,12.085639850253287
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,reward_and_controller_update,20,0.8601856200635666,0.049943260136893264,0.8438713503128383,5.002895876070899
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,environmental_survival,20,0.8643243050406454,0.03686152384229003,0.8533195501659065,5.026966738825679
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,final_postprocessing,20,0.0010529049992328509,0.00016225192829645829,0.0010375499841757119,0.006123764401184941
large_1000_r20_g100\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,construction,20,0.018972835000022316,0.006539698476352415,0.016433550015790388,0.11034725036669513
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,initialization,20,13.497688470000867,0.35568179083488377,13.476471999980276,82.20775460180467
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,controller_selection,20,0.03113525496737566,0.0046967583355193255,0.029692050447920337,0.18962946177868586
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,mutation_and_local_repair,20,0.08094712499005255,0.016082784281822544,0.07771104987477884,0.4930089623637182
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,archive_operations,20,0.028833079981268384,0.004069598295749346,0.027683549968060106,0.17560805087348158
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,fitness_evaluation,20,1.4767564250272698,0.11586582648923098,1.4499720000021625,8.994194084794458
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,reward_and_controller_update,20,0.5556395199935651,0.07277010304446493,0.5338260501448531,3.3841259122416685
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,environmental_survival,20,0.5091980999975931,0.05900637574763574,0.4895070498168934,3.1012741582636814
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,final_postprocessing,20,0.0011649749911157414,0.00022211981600927687,0.0010865999793168157,0.007095287344920941
large_1000_r20_g50\CyberShake\reports\CyberShake_1000_extended_run_metrics.csv,CyberShake_1000,construction,20,0.02780054000322707,0.008145199385312617,0.0263882500003092,0.16931935978981727
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,initialization,20,13.518906165001681,0.09408293336751329,13.532874849974178,83.61220984616857
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,controller_selection,20,0.029930295070516876,0.0024438007699973075,0.02964815142331645,0.18511394943124015
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,mutation_and_local_repair,20,0.07966601000807713,0.009939229152764807,0.07825695001520216,0.4927211613944569
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,archive_operations,20,0.02891791501606349,0.0028185774827495787,0.02881904991227202,0.17885254540018247
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,fitness_evaluation,20,1.2597869649907807,0.0697995720696757,1.2406535500485916,7.791575057379199
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,reward_and_controller_update,20,0.5350638050149428,0.036649753858808205,0.5325117000902537,3.3092815794385873
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,environmental_survival,20,0.4921661100292113,0.025850472921467017,0.4831194499565754,3.0439663955556266
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,final_postprocessing,20,0.001219884993042797,0.0003153202858705898,0.0010813999979291111,0.0075447879274834475
large_1000_r20_g50\Inspiral\reports\Inspiral_1000_extended_run_metrics.csv,Inspiral_1000,construction,20,0.026423175013042054,0.006743958123268075,0.02477690004161559,0.16342298903679356
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,initialization,20,13.412461795003036,0.3449903213327371,13.457299200003035,81.83856092457418
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,controller_selection,20,0.029649295029230416,0.0037991197119055025,0.028472899895859882,0.18091053489705755
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,mutation_and_local_repair,20,0.08012387996423058,0.008111392673026463,0.08211259989184327,0.4888903418467831
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,archive_operations,20,0.028622160010854714,0.002967602781572016,0.027904050250072032,0.17464328485274272
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,fitness_evaluation,20,1.562584194992087,0.08630477609784612,1.5405209001037292,9.534390016997445
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,reward_and_controller_update,20,0.5323803749866783,0.04564189520686475,0.5251239499775693,3.2484151246288833
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,environmental_survival,20,0.5118503100122325,0.042525685518196445,0.5022784498869441,3.1231472208781628
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,final_postprocessing,20,0.0012036849948344752,0.0003321023855119797,0.0010347499919589609,0.007344501649984731
large_1000_r20_g50\Montage\reports\Montage_1000_extended_run_metrics.csv,Montage_1000,construction,20,0.030348885001149028,0.006608655835537937,0.028702399984467775,0.1851792096127173
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,initialization,20,13.357438085001196,0.28927647052180866,13.428030049981317,82.10101140060499
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,controller_selection,20,0.0350453198683681,0.005300127904146984,0.036523499904433265,0.21540479452280245
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,mutation_and_local_repair,20,0.09689529499155469,0.017181375638675132,0.10144169995328411,0.5955634357533992
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,archive_operations,20,0.032157904916675764,0.005255762676758991,0.03240879988879897,0.19765740266827012
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,fitness_evaluation,20,1.3242662900447613,0.1296103131452031,1.355162399908295,8.139554986856755
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,reward_and_controller_update,20,0.5933058799651917,0.06967400951008709,0.6187797499878798,3.6467331912820034
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,environmental_survival,20,0.5680307050060946,0.07992294188201508,0.5795588000037242,3.491380240045103
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,final_postprocessing,20,0.0012472100061131641,0.00033704797942594013,0.0011705500073730946,0.007665931317010956
large_1000_r20_g50\Sipht\reports\Sipht_1000_extended_run_metrics.csv,Sipht_1000,construction,20,0.024308610009029508,0.005674179631888727,0.02259805001085624,0.14941199463429997
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,initialization,10,13.596469900000375,0.09392584834046898,13.586936900013825,87.56042726126077
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,controller_selection,10,0.010687829880043864,0.0006822542696484822,0.010522250580834225,0.06882896499423607
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,mutation_and_local_repair,10,0.06877750004059635,0.02277322902900403,0.06309070013230667,0.4429228567273797
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,archive_operations,10,0.02165655998978764,0.0014824930825718511,0.020960349967936054,0.13946691013634935
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,fitness_evaluation,10,0.9975586800079327,0.01574528202087981,1.004657650104491,6.424216350427216
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,reward_and_controller_update,10,0.3810195399506483,0.02177291598498162,0.38681464991532266,2.453742328585368
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,environmental_survival,10,0.18885128001566046,0.010114861484843748,0.19157130006351508,1.2161905912803714
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,final_postprocessing,10,0.002477590006310493,0.00034671315314805117,0.0024275000323541462,0.015955526774693963
large_3000_r10_g20\Epigenomics\reports\Epigenomics_3000_wfcommons_extended_run_metrics.csv,Epigenomics_3000_wfcommons,construction,10,0.1095588200027123,0.10633424564675725,0.07864694998716004,0.7055520410983139
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,initialization,10,13.581236450001597,0.112391855861744,13.577627549995668,85.90396597166315
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,controller_selection,10,0.010541860206285492,0.0010997720943939694,0.010769700136734173,0.06667931920430355
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,mutation_and_local_repair,10,0.06732426001690328,0.016429933064847562,0.06419150010333396,0.42583905838402375
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,archive_operations,10,0.021373219968518244,0.0019771850349585575,0.02159945003222674,0.13518977949023536
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,fitness_evaluation,10,1.3356147700396832,0.038016327252805245,1.336857250018511,8.448023578643031
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,reward_and_controller_update,10,0.3717180999403354,0.0450223067460474,0.3824248499586247,2.3511893873493457
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,environmental_survival,10,0.18728067001211457,0.011424963911722588,0.1889682999753859,1.1845867173506928
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,final_postprocessing,10,0.002717420004773885,0.0008638700345857392,0.0024006500316318125,0.01718821084370305
large_3000_r10_g20\Montage\reports\Montage_3000_wfcommons_extended_run_metrics.csv,Montage_3000_wfcommons,construction,10,0.08416514000855387,0.019247837471156486,0.08283694999408908,0.5323609046873068
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,initialization,10,13.662052329990548,0.10177414297147647,13.621637749980437,87.96956902543093
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,controller_selection,10,0.011569200013764203,0.0007854511813515958,0.011611849738983437,0.07449375208040582
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,mutation_and_local_repair,10,0.06332065002061427,0.00859001580014503,0.06387055004597642,0.40771987679302313
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,archive_operations,10,0.02664507001172751,0.0028888069383223632,0.026946050056722015,0.17156685313221345
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,fitness_evaluation,10,0.9232623400748707,0.07616672620600765,0.9105951499950606,5.9448601273110055
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,reward_and_controller_update,10,0.3857999899366405,0.01894425330931966,0.38465419987915084,2.484155237075229
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,environmental_survival,10,0.20785688999458216,0.011917311613401723,0.20683870001812465,1.3383846431074569
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,final_postprocessing,10,0.0030873300100211056,0.0005911893484639106,0.002966000000014901,0.019879230723238193
large_3000_r10_g20\Seismology\reports\Seismology_3000_wfcommons_extended_run_metrics.csv,Seismology_3000_wfcommons,construction,10,0.08516988999326713,0.024193114304195556,0.0822492000006605,0.5484065157768471
