benchmark,algorithm,source_run,point,makespan,latency,cost,energy
CyberShake_30,ADARE,1,70,17529.05315388822,80281.59115416167,10655.281133846158,37449579.107692294
CyberShake_30,ADARE,1,71,17699.86935333233,75520.4222713041,10189.495364615384,35984157.569230765
CyberShake_30,ADARE,1,72,17714.897632770433,121875.12756675482,10001.755364615385,36028370.069230765
CyberShake_30,ADARE,1,73,17765.823650769227,91651.39617456129,13071.43498,34447386.80000002
CyberShake_30,ADARE,1,74,17902.09887823918,116426.52605554386,12325.50344153846,34835946.223076925
CyberShake_30,ADARE,1,75,18028.079222496992,90831.89473772835,11037.476518461537,35501279.876923084
CyberShake_30,ADARE,1,76,18263.674717385817,89307.29117410758,7875.342672307691,37123682.18461538
CyberShake_30,ADARE,1,77,18306.705967385817,97344.09971560998,6884.144980000001,37351079.3
CyberShake_30,ADARE,1,78,18473.533332674284,128684.73435520737,5660.169210769231,38021785.26153847
CyberShake_30,ADARE,1,79,18495.82673888221,97761.92927192911,6375.13151846154,37614794.87692308
CyberShake_30,ADARE,1,80,18966.83382286659,85373.43032974761,6639.99574923077,37678495.83846153
CyberShake_30,ADARE,1,81,19003.113065621994,106379.93627894833,14748.249210769232,33702280.26153846
CyberShake_30,ADARE,1,82,19040.340453725963,107819.98513041169,9953.686133846159,35912401.607692294
CyberShake_30,ADARE,1,83,19040.340453725963,124017.37542143028,10582.039246153852,35621753.69230768
CyberShake_30,ADARE,1,84,19319.14985314002,96775.56842351262,5418.6634415384615,39690523.72307693
CyberShake_30,ADARE,1,85,19335.08735314002,93089.52317464846,6557.740364615384,39094985.06923077
CyberShake_30,ADARE,1,86,19525.5042574369,134538.49214402045,7879.596903076924,37077740.646153845
CyberShake_30,ADARE,1,87,20161.301396484374,103569.83354661358,4766.106903076923,38393608.14615385
CyberShake_30,ADARE,1,88,20172.191773873194,84791.04185035457,14970.604595384613,33731798.53076923
CyberShake_30,ADARE,1,89,20221.61120567909,115859.59580974764,4848.188056923076,38377627.95384614
CyberShake_30,ADARE,1,90,20292.1012496244,151607.82719899042,9328.772287692309,36344148.91538461
CyberShake_30,ADARE,1,91,20357.617355621995,96194.43739277043,7142.346903076924,37374785.64615384
CyberShake_30,ADARE,1,92,20379.866724233772,132585.78523120793,2445.6622876923075,39512261.41538461
CyberShake_30,ADARE,1,93,20569.33400892428,98102.88844903246,8918.12074923077,36368523.33846154
CyberShake_30,ADARE,1,94,20669.404629591343,77013.86967122299,10146.86767230769,36010157.184615396
CyberShake_30,ADARE,1,95,20693.53128912259,103705.48031560093,12811.423826153847,34748486.99230769
CyberShake_30,ADARE,1,96,20938.77659443509,81867.88252866585,14102.954980000002,34001661.79999999
CyberShake_30,ADARE,1,97,21024.86200646034,129677.07716179392,10139.27305692308,35835082.95384614
CyberShake_30,ADARE,1,98,21281.841822265626,121861.484627497,4639.0822876923085,40970981.41538462
CyberShake_30,ADARE,1,99,21572.761760769226,84857.69276546873,16327.846133846158,32964001.6076923
CyberShake_30,ADARE,1,100,22095.916610462744,108281.67953598857,11655.967707692313,35163143.115384616
CyberShake_30,ADARE,1,101,22231.62886290565,120853.8648871785,7950.783441538462,37035838.72307692
CyberShake_30,ADARE,1,102,22686.85963341346,142660.05036597358,2414.3572876923076,39515523.91538461
CyberShake_30,ADARE,1,103,22695.85963341346,117812.26349378008,3717.9669030769223,40536868.146153845
CyberShake_30,ADARE,1,104,22695.85963341346,131101.6799789033,3039.062287692307,40850898.91538461
CyberShake_30,ADARE,1,105,23032.293745718147,77606.32909968754,7520.906518461538,37125194.87692307
CyberShake_30,ADARE,1,106,23240.039150015025,94796.90387202523,5120.978056923077,38290485.45384616
CyberShake_30,ADARE,1,107,23240.039150015025,100027.69090662859,7481.428826153845,37198646.992307685
CyberShake_30,ADARE,1,108,23858.87554296875,130607.90337019233,6061.640749230771,37827108.33846154
CyberShake_30,ADARE,1,109,24244.0692743089,82215.15834732578,9777.190364615388,36262370.06923076
CyberShake_30,ADARE,1,110,24944.008149038462,77206.86776816408,5571.05074923077,39507858.33846153
CyberShake_30,ADARE,1,111,25273.372314077522,101358.99534516528,7918.684595384616,36863573.53076924
CyberShake_30,ADARE,1,112,25574.39474571815,153590.82471041166,1482.9772876923078,39940953.91538462
CyberShake_30,ADARE,1,113,26401.304649038462,104563.9541083714,3618.2676723076925,38849612.18461539
CyberShake_30,ADARE,1,114,27081.84930198317,82235.28494441407,5469.516903076924,38305610.64615384
CyberShake_30,ADARE,1,115,27081.84930198317,84866.39280783656,8013.13151846154,37029434.87692307
CyberShake_30,ADARE,1,116,28994.4168355619,105366.50526454629,2583.621903076924,39368128.146153845
CyberShake_30,NSGA-III,2,1,10830.683326923077,55478.9391067458,23196.80190307692,45975343.146153845
CyberShake_30,NSGA-III,2,2,11512.843070769231,66573.18161629209,19257.026169230765,43855327.538461536
CyberShake_30,NSGA-III,2,3,11512.843070769231,66575.23690475362,19253.737707692304,43848323.115384616
CyberShake_30,NSGA-III,2,4,12135.868124615383,56986.43679728666,19751.937323076916,39919149.84615384
CyberShake_30,NSGA-III,2,5,12180.868124615383,55421.938276646644,20726.74786153846,40964698.39307691
CyberShake_30,NSGA-III,2,6,12180.868124615383,66781.72104979871,19125.923056923068,40112242.95384614
CyberShake_30,NSGA-III,2,7,12224.137355384613,62509.559798335344,16810.743441538456,38852533.72307692
CyberShake_30,NSGA-III,2,8,12425.299374999999,52999.10520620493,17833.25305692308,43661797.95384616
CyberShake_30,NSGA-III,2,9,12787.24700153846,55137.197570904464,15758.98578461539,36883231.76923076
CyberShake_30,NSGA-III,2,10,12787.24700153846,57111.47244184196,13708.83078461539,35716764.26923076
CyberShake_30,NSGA-III,2,11,13247.545936153845,54079.259201382214,19974.398861538455,35843357.92307691
CyberShake_30,NSGA-III,2,12,13821.526069335936,66652.16894985278,13378.12324615385,36858694.162307695
CyberShake_30,NSGA-III,2,13,13916.582718302283,73640.60313298376,12314.903056923076,39893340.45384615
CyberShake_30,NSGA-III,2,14,14048.280453846151,71184.4686003245,14121.44651846154,35475202.37692308
CyberShake_30,NSGA-III,2,15,14073.491114615385,64416.256803527634,13715.21501538462,34488380.230769224
CyberShake_30,NSGA-III,2,16,14073.491114615385,72087.68571121394,13049.886903076926,34757990.64615384
CyberShake_30,NSGA-III,2,17,14361.816489257812,86990.27609710637,11344.52593846154,37832549.54692308
CyberShake_30,NSGA-III,2,18,14496.029916583535,65697.69173429687,12533.8554,36511533.50000001
CyberShake_30,NSGA-III,2,19,14496.029916583535,67824.64797089543,10945.206553846156,35590625.80769231
CyberShake_30,NSGA-III,2,20,14498.698686153844,90383.49100724458,14898.241133846153,33811936.6076923
CyberShake_30,NSGA-III,2,21,14522.237147692305,82178.02981987677,14921.028441538461,33801396.22307692
CyberShake_30,NSGA-III,2,22,14522.237147692305,92923.29935222055,14862.619595384616,33828413.53076922
CyberShake_30,NSGA-III,2,23,14524.205897692305,93770.27982171872,16267.544630769235,33136379.461538453
CyberShake_30,NSGA-III,2,24,14920.946129999998,66143.04802410156,13005.305749230765,34616178.33846155
CyberShake_30,NSGA-III,2,25,15406.367065384613,64085.946329230756,19937.26924615384,35714701.19230768
