benchmark,algorithm,run,generation,makespan_best,latency_best,cost_best,energy_best
CyberShake_30,NSGA-II,1,4,11270.597154203726,55837.3569271094,7351.765364615384,33435477.153846145
CyberShake_30,NSGA-II,1,5,11270.597154203726,52524.73694057691,6381.887287692307,33435477.153846145
CyberShake_30,NSGA-II,1,6,11270.597154203726,52524.73694057691,6381.887287692307,33435477.153846145
CyberShake_30,NSGA-II,1,7,11270.597154203726,52524.73694057691,6381.887287692307,33162292.376923073
CyberShake_30,NSGA-II,1,8,11270.597154203726,52524.73694057691,5962.786133846153,33162292.376923073
CyberShake_30,NSGA-II,1,9,11270.597154203726,52524.73694057691,5962.786133846153,33162292.376923073
CyberShake_30,NSGA-II,1,10,11270.597154203726,52524.73694057691,5962.786133846153,33162292.376923073
CyberShake_30,NSGA-II,1,11,11270.597154203726,52524.73694057691,5869.113441538461,33162292.376923073
CyberShake_30,NSGA-II,1,12,11270.597154203726,52524.73694057691,5869.113441538461,33162292.376923073
CyberShake_30,NSGA-II,1,13,11270.597154203726,52524.73694057691,5869.113441538461,33162292.376923073
CyberShake_30,NSGA-II,1,14,11270.597154203726,52524.73694057691,5353.744595384616,33162292.376923073
CyberShake_30,NSGA-II,1,15,11270.597154203726,52524.73694057691,4723.989210769231,33162292.376923073
CyberShake_30,NSGA-II,2,0,11710.069415384614,60203.67135307392,10309.757861538463,34313889.10769231
CyberShake_30,NSGA-II,2,1,11710.069415384614,58379.08294542067,10309.757861538463,34313889.10769231
CyberShake_30,NSGA-II,2,2,11520.030953846153,56508.18738915565,10309.757861538463,34313889.10769231
CyberShake_30,NSGA-II,2,3,11520.030953846153,56508.18738915565,10047.490938461537,33523676.99230769
CyberShake_30,NSGA-II,2,4,11520.030953846153,56508.18738915565,10047.490938461537,33523676.99230769
CyberShake_30,NSGA-II,2,5,11520.030953846153,56508.18738915565,9882.496133846156,33523676.99230769
CyberShake_30,NSGA-II,2,6,11520.030953846153,56508.18738915565,9017.595553846153,32559688.884615384
CyberShake_30,NSGA-II,2,7,11520.030953846153,52358.468308774034,9017.595553846153,32559688.884615384
CyberShake_30,NSGA-II,2,8,11501.800184615384,52358.468308774034,6697.328056923078,32559688.884615384
CyberShake_30,NSGA-II,2,9,11501.800184615384,52358.468308774034,6697.328056923078,32559688.884615384
CyberShake_30,NSGA-II,2,10,11501.800184615384,51451.068304492175,6683.481903076924,32559688.884615384
CyberShake_30,NSGA-II,2,11,11501.800184615384,51451.068304492175,6683.481903076924,32539890.61538461
CyberShake_30,NSGA-II,2,12,11501.800184615384,51451.068304492175,6429.010364615384,32163707.923076913
CyberShake_30,NSGA-II,2,13,11501.800184615384,51451.068304492175,6429.010364615384,32163707.923076913
CyberShake_30,NSGA-II,2,14,11501.800184615384,51451.068304492175,6416.941938461538,32163707.923076913
CyberShake_30,NSGA-II,2,15,11501.800184615384,51451.068304492175,6050.467707692307,32163707.923076913
CyberShake_30,NSGA-II,3,0,11463.181383076922,56482.92773734375,8327.449246153848,35695995.038461536
CyberShake_30,NSGA-II,3,1,11451.677942307693,55861.72574014121,8327.449246153848,35337644.461538464
CyberShake_30,NSGA-II,3,2,11421.62025,55308.9187605559,7252.511518461538,35337644.461538464
CyberShake_30,NSGA-II,3,3,11421.62025,54678.02827965145,7252.511518461538,34973007.56923077
CyberShake_30,NSGA-II,3,4,11421.62025,54678.02827965145,7252.511518461538,34973007.56923077
CyberShake_30,NSGA-II,3,5,11421.62025,54678.02827965145,7252.511518461538,32762737.37692307
CyberShake_30,NSGA-II,3,6,11421.62025,54029.12293464845,7252.511518461538,32762737.37692307
