benchmark,baseline,metric,adare_mean,adare_std,baseline_mean,baseline_std,gain_percent
CyberShake_1000,QL-NSGA-III,cost_best,481719.5835320007,9161.984520132255,481945.40441707784,9278.25935284659,0.04685611337040418
CyberShake_1000,QL-NSGA-III,energy_best,1212392354.3466542,8715567.597154979,1213710803.4109228,5911359.676451266,0.1086295895664204
CyberShake_1000,OVEA-style,hv,0.4419043799224423,0.03401713824641924,0.3087062221106321,0.03430796713800406,43.14722162097385
CyberShake_1000,OVEA-style,igd,0.1480681757377125,0.013256966272872515,0.2238366255677248,0.014749655839660463,33.84988923856321
CyberShake_1000,OVEA-style,spacing,0.058691238482180164,0.014611474046769218,0.07021475091522059,0.021695644067076258,16.411811311492453
CyberShake_1000,OVEA-style,epsilon,0.31805872125504997,0.04098264435264934,0.4302149743089151,0.040929867422038434,26.069816196897765
CyberShake_1000,OVEA-style,coverage,0.12143000676904,0.060218679835195764,0.08527911820411523,0.06965418523061907,42.39125512343804
CyberShake_1000,OVEA-style,time,14.233769425000082,0.2871614726990454,15.167025744999956,2.3717943793500975,6.153192693745748
CyberShake_1000,OVEA-style,makespan_best,111124.3117308837,2061.7357350151588,104607.7212033281,2250.987410232741,-6.229550221143977
CyberShake_1000,OVEA-style,latency_best,38892183.123543546,1079187.7748580135,38679435.87191574,1521336.74290793,-0.5500267696051735
CyberShake_1000,OVEA-style,cost_best,481719.5835320007,9161.984520132255,530603.3430242314,10452.006701054199,9.212863080283732
CyberShake_1000,OVEA-style,energy_best,1212392354.3466542,8715567.597154979,1231318200.4771922,8136708.386390653,1.537039420289845
CyberShake_1000,QMOEA/D-AWA-style,hv,0.4419043799224423,0.03401713824641924,0.28735798720333455,0.04186013411333063,53.7818329753788
CyberShake_1000,QMOEA/D-AWA-style,igd,0.1480681757377125,0.013256966272872515,0.34953657220524076,0.05072525130822102,57.638717229632306
CyberShake_1000,QMOEA/D-AWA-style,spacing,0.058691238482180164,0.014611474046769218,0.09911121154262471,0.04921981490075822,40.7824427038319
CyberShake_1000,QMOEA/D-AWA-style,epsilon,0.31805872125504997,0.04098264435264934,0.544580799822408,0.06156069996374838,41.59567848172919
CyberShake_1000,QMOEA/D-AWA-style,coverage,0.027051157831713763,0.039169493696734344,0.039433062069436135,0.058862648431197546,-31.399804093122576
CyberShake_1000,QMOEA/D-AWA-style,time,14.233769425000082,0.2871614726990454,17.15508722000004,0.5934074887337848,17.02887171330833
CyberShake_1000,QMOEA/D-AWA-style,makespan_best,111124.3117308837,2061.7357350151588,133036.37473262154,4648.647736060087,16.47073068984105
CyberShake_1000,QMOEA/D-AWA-style,latency_best,38892183.123543546,1079187.7748580135,44854265.388763726,1313451.8631456709,13.292118851006126
CyberShake_1000,QMOEA/D-AWA-style,cost_best,481719.5835320007,9161.984520132255,492196.31637877005,15052.893896661177,2.1285679104325017
CyberShake_1000,QMOEA/D-AWA-style,energy_best,1212392354.3466542,8715567.597154979,1176955463.8275769,8802171.395034028,-3.01089477114393
Inspiral_1000,NSGA-III,hv,0.5080609942145282,0.026849378514143644,0.4917462812285992,0.033430644300609734,3.317709479198838
Inspiral_1000,NSGA-III,igd,0.14521906241191357,0.012610474625320023,0.15756828879804594,0.013399427409561605,7.83738052899735
Inspiral_1000,NSGA-III,spacing,0.06284602806806897,0.008975649018504993,0.06453276857916272,0.009504167411570378,2.6137736660478503
Inspiral_1000,NSGA-III,epsilon,0.3160299634824951,0.03280412539543494,0.3550242899664068,0.03231661165958244,10.983565797033602
Inspiral_1000,NSGA-III,coverage,0.256574064476905,0.1413985821908678,0.33971831669240937,0.1566796486816328,-24.474468443450323
Inspiral_1000,NSGA-III,time,14.186552364999988,0.28451134071257256,14.436372384999776,0.5693441678409759,1.7304902737156156
Inspiral_1000,NSGA-III,makespan_best,1150432.4461427894,24682.70479265628,1160589.2287129273,24105.72892600713,0.8751401718075194
Inspiral_1000,NSGA-III,latency_best,132415890.81934527,2202813.383483321,132510678.90193911,3109822.663472453,0.0715324103531223
Inspiral_1000,NSGA-III,cost_best,4753766.881693618,94522.24312518019,4818792.181420693,102402.70202204071,1.3494107502246302
Inspiral_1000,NSGA-III,energy_best,12111435177.462032,70613873.78615142,12171469520.119993,76753615.31516378,0.4932382450510301
Inspiral_1000,QL-NSGA-III,hv,0.5080609942145282,0.026849378514143644,0.49371230607733274,0.030539603722700998,2.9062852921774174
Inspiral_1000,QL-NSGA-III,igd,0.14521906241191357,0.012610474625320023,0.15516783066079842,0.015833526312353956,6.411617798945171
Inspiral_1000,QL-NSGA-III,spacing,0.06284602806806897,0.008975649018504993,0.07259010021208165,0.012192239079242297,13.423417402020494
Inspiral_1000,QL-NSGA-III,epsilon,0.3160299634824951,0.03280412539543494,0.33703394708756285,0.03673750405433143,6.232008314465367
Inspiral_1000,QL-NSGA-III,coverage,0.33210450411758907,0.13178806812704316,0.2881246792870594,0.16147739515790832,15.264164437199224
Inspiral_1000,QL-NSGA-III,time,14.186552364999988,0.28451134071257256,14.45020066499992,0.7872885844238496,1.824530372360291
Inspiral_1000,QL-NSGA-III,makespan_best,1150432.4461427894,24682.70479265628,1156077.8609749908,39180.61750735899,0.48832479392349915
Inspiral_1000,QL-NSGA-III,latency_best,132415890.81934527,2202813.383483321,132559774.22019021,2102619.334336183,0.10854227965562692
Inspiral_1000,QL-NSGA-III,cost_best,4753766.881693618,94522.24312518019,4752117.362240232,94681.42576320253,-0.03471125243020437
Inspiral_1000,QL-NSGA-III,energy_best,12111435177.462032,70613873.78615142,12145796217.039377,62697715.4016388,0.2829047924346012
Inspiral_1000,OVEA-style,hv,0.5080609942145282,0.026849378514143644,0.3350379785229777,0.035972078051781015,51.64280672129361
Inspiral_1000,OVEA-style,igd,0.14521906241191357,0.012610474625320023,0.24532916630375473,0.022457847738318833,40.80644197351148
Inspiral_1000,OVEA-style,spacing,0.06284602806806897,0.008975649018504993,0.07551003990203299,0.01844852729398835,16.771295380580334
Inspiral_1000,OVEA-style,epsilon,0.3160299634824951,0.03280412539543494,0.48748536091929856,0.04756765597188521,35.17139409344997
Inspiral_1000,OVEA-style,coverage,0.20649839250847574,0.13034305581331093,0.06965712852968034,0.049595227357131115,196.44976309996534
Inspiral_1000,OVEA-style,time,14.186552364999988,0.28451134071257256,15.290052854999885,2.598545325721615,7.217113638943698
Inspiral_1000,OVEA-style,makespan_best,1150432.4461427894,24682.70479265628,1093277.4825309538,20953.80116057589,-5.227855190021934
Inspiral_1000,OVEA-style,latency_best,132415890.81934527,2202813.383483321,128137150.84472337,2102839.2751135854,-3.3391876956955837
Inspiral_1000,OVEA-style,cost_best,4753766.881693618,94522.24312518019,5276078.823461233,111729.23469382492,9.899623550827949
Inspiral_1000,OVEA-style,energy_best,12111435177.462032,70613873.78615142,12318044461.548496,80869363.0893804,1.677289643915534
Inspiral_1000,QMOEA/D-AWA-style,hv,0.5080609942145282,0.026849378514143644,0.3776224290633864,0.07035573281586381,34.542059769772536
Inspiral_1000,QMOEA/D-AWA-style,igd,0.14521906241191357,0.012610474625320023,0.3512512883444543,0.08370050812877573,58.65664632964859
Inspiral_1000,QMOEA/D-AWA-style,spacing,0.06284602806806897,0.008975649018504993,0.0925318476218811,0.04923470583911368,32.08173220005206
