benchmark,run,algorithm,hv,igd,spacing,epsilon,coverage,time,makespan_best,latency_best,cost_best,energy_best
Epigenomics_24,1,NSGA-II,1.0075151190354699,0.08108885152499576,0.05448074393555939,0.12984726083223871,0.01639344262295082,3.205950399991707,265316.825036893,896412.2512661238,28134.76726769231,717767852.4699999
Epigenomics_24,1,MOEA/D,0.8785831445379633,0.1822585730730526,0.09145683615616554,0.17234271467958082,0.00819672131147541,3.111464600006002,344617.3752165386,1128057.3094667038,138013.79765230766,715773367.9923077
Epigenomics_24,1,QL-NSGA-III,1.0559924429084688,0.05107348681226818,0.08055241742073256,0.09903199695550641,0.05737704918032787,3.1575060000031954,280264.16894436604,881282.436703119,28680.33884153846,717835640.2692307
Epigenomics_24,1,OVEA-style,0.8191668606445116,0.28027488043882565,0.028541076203830184,0.20597720104437592,0.01639344262295082,2.8677487000095425,389435.6604338943,1185683.735156271,28265.58191846154,716462307.6076922
Epigenomics_24,1,QMOEA/D-AWA-style,0.5752829226473593,0.30486657524373134,0.08264237414557304,0.46009276647120523,0.0,3.3086469000118086,392311.7391041737,1189128.2123729505,380573.53091846156,716206278.2153847
Epigenomics_24,2,ADARE,1.0759043376270956,0.0477676554056384,0.05645222541752026,0.08783439257759057,nan,3.4098784000088926,261643.782125,830721.106,28795.282107692314,717479738.5692307
Epigenomics_24,2,NSGA-III,1.0444673894915444,0.05286484772235434,0.08294463582996424,0.08864830890190928,0.046511627906976744,2.898678800003836,262140.79007214544,867598.0128671034,67094.16745692308,717029577.2776922
Epigenomics_24,2,NSGA-II,1.0148232426114432,0.07585401002334444,0.06529537910706476,0.175221786535208,0.0,3.0513840000057826,262403.37356311,832780.1783428484,28404.078415384618,716255738.2392308
Epigenomics_24,2,MOEA/D,0.7738214268455922,0.20960824645547202,0.09370470400000343,0.22730648341146428,0.007751937984496124,3.376032000000123,392403.77991442016,1135506.1785971574,201678.8572676923,715988779.5307692
Epigenomics_24,2,QL-NSGA-III,1.0613666703824105,0.052463419386455726,0.07235985097028971,0.11437707404895352,0.031007751937984496,3.410021499992581,263842.7052259615,883020.9116028488,31180.94499538462,717397870.6323078
Epigenomics_24,2,OVEA-style,0.657297948650612,0.33410989011659364,0.019168330304047295,0.29607089867078745,0.015503875968992248,3.1145977999985917,505349.93442057696,1207430.6417565113,27748.257072307693,716752867.4153847
Epigenomics_24,2,QMOEA/D-AWA-style,0.4678101076456564,0.37595401286612,0.04383572568200146,0.6013377506372689,0.0,3.2608275999955367,391215.18170372903,1164678.3409245883,489119.33961076924,715903729.5307692
Epigenomics_24,3,ADARE,1.0808192141779793,0.04429210165159026,0.05424880439171491,0.08792616657516154,nan,4.506523699994432,261643.782125,830721.106,27747.710953846152,717120794.4999999
Epigenomics_24,3,NSGA-III,1.0708316589889757,0.05059449465204373,0.09337077994037304,0.04935781994806995,0.10256410256410256,4.049148999998579,277582.3212710517,881058.8850477044,28829.104226153846,717122751.676923
Epigenomics_24,3,NSGA-II,0.955709416767015,0.10626626171621696,0.05829301149519418,0.15920147095778903,0.017094017094017096,3.531986299989512,263366.15671288467,864787.2458390504,28762.265380000004,716586540.1623077
Epigenomics_24,3,MOEA/D,0.939205286961525,0.16023513780518703,0.10875164565774853,0.13611334971986871,0.017094017094017096,4.052271499997005,322056.390940607,1023232.0807427376,127330.96426153847,716082457.576923
Epigenomics_24,3,QL-NSGA-III,1.0785545731364141,0.04641913441078056,0.07741112777067301,0.057614140662087136,0.05128205128205128,3.426848799994332,262061.9541459916,863785.5664852584,29212.491184615385,716015594.4999999
Epigenomics_24,3,OVEA-style,0.794664530246586,0.27489477974087195,0.04332970873446944,0.23182432979554257,0.017094017094017096,3.3539563000085764,414722.1480643991,1229967.9744966046,26995.372338461537,717191451.1
Epigenomics_24,3,QMOEA/D-AWA-style,0.4998499694632758,0.35916295620273286,0.13178115845235527,0.5163772674560021,0.008547008547008548,3.8875196000008145,436425.878066142,1163793.2890495732,423827.7867230769,715918752.4461539
Epigenomics_24,4,ADARE,1.09260152699751,0.05358054911957674,0.05997016729715918,0.05203611366922063,nan,3.67625709999993,261643.782125,830721.106,28496.017687692314,718079181.0169232
Epigenomics_24,4,NSGA-III,1.042715616787429,0.054610884124839595,0.07405369442631383,0.08563993582898158,0.02564102564102564,3.44543920000433,262044.11182278243,866868.4598825991,64605.507876923075,718433286.8384616
Epigenomics_24,4,NSGA-II,0.9851496499976281,0.0814758369963112,0.05776266983354661,0.17228799423510274,0.0,3.391066900003352,261975.42568782752,866575.4014772746,31069.589379999998,718394124.5615385
Epigenomics_24,4,MOEA/D,0.8352683567210032,0.1779859168457736,0.05507612435784685,0.17135907243769413,0.008547008547008548,3.1007731999998214,392506.2321363162,1067871.3443984527,158683.65284153845,716180627.8853846
Epigenomics_24,4,QL-NSGA-III,1.0234264518213274,0.05598102333423603,0.06148002464699849,0.08895666362207938,0.017094017094017096,3.0867715000058524,263226.94212195015,871096.3739866104,95357.96268769231,716411784.3930769
Epigenomics_24,4,OVEA-style,0.7739186622565222,0.2808529907373721,0.045205145719063,0.264518928933218,0.0,2.936267400000361,417942.02723186905,1273702.3351488402,28072.650533846157,733140967.2538463
Epigenomics_24,4,QMOEA/D-AWA-style,0.6371861306725772,0.32017359875174817,0.10105581513930208,0.4928594145519308,0.0,3.0579014999966603,327121.51390231674,1081627.7279216107,405754.47688307695,715874194.1153845
Epigenomics_24,5,ADARE,1.0875520295552659,0.047694009576318294,0.05230687826064946,0.04067565183863053,nan,3.377084099993226,261643.782125,830721.106,31545.545723076924,716429734.2007692
Epigenomics_24,5,NSGA-III,1.0583465776380598,0.05871308841189322,0.08580005709263147,0.08645087361417851,0.024390243902439025,3.239874700011569,294846.74414384615,886235.8479969411,28038.440380000007,718508206.1546153
Epigenomics_24,5,NSGA-II,1.028791968513359,0.06689324011555968,0.06697337136652105,0.09735573296844137,0.0,2.9438403000094695,277663.34171369893,885348.93340439,28174.914764615387,717605645.2692307
Epigenomics_24,5,MOEA/D,0.9140920998663605,0.1605268412820224,0.09318989602623944,0.15119432120384174,0.016260162601626018,3.3122148999973433,322083.3827604117,1022848.329429862,139045.5322676923,715733144.9153847
Epigenomics_24,5,QL-NSGA-III,1.0546603317576775,0.05437146968906826,0.08539391426088878,0.10174398480122186,0.024390243902439025,3.343084500011173,280361.5736956761,871586.5279453335,31263.355918461537,716342072.3084614
Epigenomics_24,5,OVEA-style,0.7980710960300881,0.2824245566650497,0.018259080902502,0.2090831005808005,0.0,3.2744303999934345,416010.9224592008,1185267.0412490054,28729.419184615384,716893840.4615384
Epigenomics_24,5,QMOEA/D-AWA-style,0.44110631897840513,0.326967720263771,0.054862621087756025,0.592955101173124,0.0,3.3248888999951305,435290.7838184616,1185628.1578547475,482677.3305692308,715794474.8846153
Montage_25,1,ADARE,0.8242146578568419,0.08545080312049877,0.053350471922680075,0.18068083742019198,nan,3.297471099998802,2282.780248461538,11159.997890769233,2040.4572984615384,10266109.201538464
Montage_25,1,NSGA-III,0.7999756733034087,0.09391005612119431,0.04405409401173254,0.17213840322263557,0.125,2.790672999995877,2856.397100291466,13232.713018804083,2162.1772215384617,10216386.915384613
Montage_25,1,NSGA-II,0.842421613927013,0.0751014252890187,0.05099413216083165,0.15223965982792462,0.125,3.2607470999937505,2930.046749630408,12665.592622959733,852.1262630769229,10100563.838461539
Montage_25,1,MOEA/D,0.5297190233395703,0.24972117572779423,0.230540175734096,0.32979810635334345,0.011363636363636364,3.0486698000022443,3996.7197226141834,15307.145708707932,3402.811529230769,9331347.846153848
Montage_25,1,QL-NSGA-III,0.8418226938165227,0.08081110283990932,0.049584609907553444,0.22053421251931496,0.2727272727272727,3.0534802000038326,2793.5580050781246,13028.740580012018,2557.755724615385,9957586.231538463
Montage_25,1,OVEA-style,0.6676720845833377,0.14999230671876934,0.05745619678261858,0.3350256587772609,0.10227272727272728,2.9812624999904074,3054.637467656249,13937.500936853969,3443.2418430769235,10335674.669230768
Montage_25,1,QMOEA/D-AWA-style,0.4761054974399353,0.37902161935535433,0.07627331649642394,0.5455469803930039,0.0,2.911728699997184,3562.1849382391833,15826.823380369595,5071.430795384614,9343099.76923077
