benchmark,baseline,metric,adare_mean,adare_std,baseline_mean,baseline_std,gain_percent,scale
CyberShake_100,NSGA-II,makespan_best,19767.723230769232,0.0,21500.961362629205,195.49979943378324,8.061212252920523,small
CyberShake_100,NSGA-II,latency_best,437841.6061786659,7436.7358775249995,435795.27651500463,4556.5109384213565,-0.46956214854494743,small
CyberShake_100,NSGA-II,cost_best,41257.002550000005,1203.6772254302293,29093.82325999999,4613.7219450388375,-41.80674083740213,small
CyberShake_100,NSGA-II,energy_best,148477550.1892307,2023028.1430212173,148823182.45423076,1781809.495863552,0.23224356535067472,small
CyberShake_100,MOEA/D,hv,0.6769018434031384,0.026253877906716475,0.4090692287504396,0.034272189412243574,65.47366456060061,small
CyberShake_100,MOEA/D,igd,0.13305156073935354,0.028860320223615992,0.2412525703372208,0.047228878173969965,44.84968157919512,small
CyberShake_100,MOEA/D,spacing,0.06092228443953425,0.006718431803850702,0.17396093845914146,0.04113294884717535,64.97933100433166,small
CyberShake_100,MOEA/D,epsilon,0.2446878497774374,0.014734628358610499,0.4556246258326401,0.05011771667187437,46.29617542504911,small
CyberShake_100,MOEA/D,coverage,0.17067307692307693,0.023796862828393422,0.0,0.0,0.0,small
CyberShake_100,MOEA/D,time,2.9244126999997206,0.012677576057849022,3.3368419000003087,0.3305076492240844,12.359866375465673,small
CyberShake_100,MOEA/D,makespan_best,19767.723230769232,0.0,25124.544942922177,2504.4983863083303,21.321069592792817,small
CyberShake_100,MOEA/D,latency_best,437841.6061786659,7436.7358775249995,489141.9793505408,21221.884091895943,10.487828756793492,small
CyberShake_100,MOEA/D,cost_best,41257.002550000005,1203.6772254302293,57487.64263846153,3482.1145450770705,28.233267783366333,small
CyberShake_100,MOEA/D,energy_best,148477550.1892307,2023028.1430212173,135944048.72692302,683119.9296446586,-9.21960290257671,small
CyberShake_100,QL-NSGA-III,hv,0.6769018434031384,0.026253877906716475,0.6592038009668301,0.026786147507151137,2.684760374614236,small
CyberShake_100,QL-NSGA-III,igd,0.13305156073935354,0.028860320223615992,0.13061520221033343,0.0027994371040774204,-1.8652947649208294,small
CyberShake_100,QL-NSGA-III,spacing,0.06092228443953425,0.006718431803850702,0.07130553188902432,0.012251528468904175,14.561629616128432,small
CyberShake_100,QL-NSGA-III,epsilon,0.2446878497774374,0.014734628358610499,0.24266930437700052,0.014736505457161108,-0.8318091180172354,small
CyberShake_100,QL-NSGA-III,coverage,0.34314980793854033,0.2861021035274635,0.27525252525252525,0.3178409268969835,24.66726967308438,small
CyberShake_100,QL-NSGA-III,time,2.9244126999997206,0.012677576057849022,3.006459900000209,0.11401927141007309,2.729030245854357,small
CyberShake_100,QL-NSGA-III,makespan_best,19767.723230769232,0.0,21870.507747079326,946.0580146870944,9.614703694251943,small
CyberShake_100,QL-NSGA-III,latency_best,437841.6061786659,7436.7358775249995,445361.64510319417,13311.682476736156,1.6885241482314506,small
CyberShake_100,QL-NSGA-III,cost_best,41257.002550000005,1203.6772254302293,42691.78058538462,1023.8734603962004,3.3607828385490404,small
CyberShake_100,QL-NSGA-III,energy_best,148477550.1892307,2023028.1430212173,148460993.57,310730.188032162,-0.011152167874257763,small
Epigenomics_24,NSGA-III,hv,1.0681886612151184,0.0426558860641176,1.0725132665981172,0.009895191592106835,-0.4032216213712641,small
Epigenomics_24,NSGA-III,igd,0.05689423684561995,0.00029204096497684455,0.060924608269361406,0.005231816326588862,6.6153423685914845,small
Epigenomics_24,NSGA-III,spacing,0.06529587032671505,0.00019360539580756523,0.06822983265652566,0.0021577182338528636,4.300116555437568,small
Epigenomics_24,NSGA-III,epsilon,0.08463434506276932,0.04224095559642434,0.061520637471965706,0.018659079119608065,-37.57065684070046,small
Epigenomics_24,NSGA-III,coverage,0.08333333333333334,0.009065471553673684,0.027466781496062992,0.0056982645383512375,203.39678984695783,small
Epigenomics_24,NSGA-III,time,3.0177857499998026,0.023667358940544697,3.284100550000403,0.2798949964360859,8.10921577905304,small
Epigenomics_24,NSGA-III,makespan_best,261643.782125,0.0,263628.5916053561,2206.3108831690693,0.7528809634302794,small
Epigenomics_24,NSGA-III,latency_best,830721.106,0.0,920327.2121517458,8162.393337278095,9.736331270944893,small
Epigenomics_24,NSGA-III,cost_best,59972.54978538462,45422.03616843356,27968.139013076925,124.83260612997483,-114.43167797951644,small
Epigenomics_24,NSGA-III,energy_best,716608769.7076924,212009.1283189047,727700898.8315384,13630714.682783619,1.524270361855615,small
Epigenomics_24,NSGA-II,hv,1.0681886612151184,0.0426558860641176,0.9939869827321262,0.015667462861876744,7.465055355054798,small
Epigenomics_24,NSGA-II,igd,0.05689423684561995,0.00029204096497684455,0.08007298028704006,0.0035186563831115926,28.94702227684115,small
Epigenomics_24,NSGA-II,spacing,0.06529587032671505,0.00019360539580756523,0.07837926222261024,0.004479690672946567,16.69241521913815,small
